Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,Payment Date,,Amount Paid
REGN - Regeneration & Housing,FAB - Facilities,Amenity Lighting - 1.1.24 to 31.7.24,,,5,,CRINV0006591,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,87.20
REGN - Regeneration & Housing,FAB - Facilities,Amenity Lighting - 1.1.24 to 31.7.24,,,6,,CRINV0006591,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,131.70
REGN - Regeneration & Housing,FAB - Facilities,Amenity Lighting - 1.1.24 to 31.7.24,,,7,,CRINV0006591,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,"3,885.19"
REGN - Regeneration & Housing,FAB - Facilities,Amenity Lighting - 1.1.24 to 31.7.24,,,8,,CRINV0006591,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,"1,426.76"
REGN - Regeneration & Housing,FAB - Facilities,Amenity Lighting - 1.1.24 ti 31.7.24,,,9,,CRINV0006591,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,"3,073.02"
REGN - Regeneration & Housing,FAB - Facilities,Amenity Lighting - 1.1.24 to 31.7.24,,,10,,CRINV0006591,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,263.40
REGN - Regeneration & Housing,FAB - Facilities,Period: 22.1.24 to 30.9.24,,,1,,CRINV0006592,"SSE - 8700214041 Mercer House, Mercer Park",,28/11/2024,,745.16
RESO - Resources,AAG - Management Resources,Cabinet Action Fund Grant - CAF03,,,1,,CRINV0006594,Fairfield Boxing Club and SITHI C.I.C,,28/11/2024,,500.00
ENVS - Environmental Services,CAA - Environmental Maintenance,Tech Equipment,,,1,,CRINV0006597,2-Work Group Ltd,,28/11/2024,,"4,800.00"
ENVH - Environmental Health,BAB - Environmental Protection,Temp staff w/e 15.9.24,,,1,,CRINV0006599,Vivid Resourcing,,28/11/2024,,"2,220.00"
ENVH - Environmental Health,BAB - Environmental Protection,Temp staff w/e 20.10.24,,,1,,CRINV0006601,Vivid Resourcing,,28/11/2024,,477.23
ENVS - Environmental Services,CAD - Town Centre & Markets,Subscription access to Huq Community Vision,,,1,,CRINV0006603,Huq Industries Ltd,,28/11/2024,,"18,000.00"
ENVH - Environmental Health,BAB - Environmental Protection,Temp Staff 13.10.24 ,,,1,,CRINV0006612,Vivid Resourcing,,28/11/2024,,"2,220.00"
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.02.24 - 31.08.24 Clocks,,,1,,CRINV0006637,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,42.03
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.02.24 - 31.08.24 Viaduct,,,2,,CRINV0006637,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,"1,240.55"
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.02.24 - 31.08.24 Bus shelters,,,3,,CRINV0006637,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,455.57
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.02.24-31.08.24 Car parks,,,4,,CRINV0006637,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,981.22
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.02.24 - 31.08.24 CCTV,,,5,,CRINV0006637,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,84.10
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.02.24 - 31.08.24,,,6,,CRINV0006637,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,127.00
REGN - Regeneration & Housing,FAB - Facilities,Amenity nlighting 01.02.24 - 31.08.24 Viaduct,,,7,,CRINV0006637,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,"3,746.53"
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.02.24 - 31.08.24 Bus shelter,,,8,,CRINV0006637,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,"1,375.85"
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.02.24 - 31.08.24 Car parks,,,9,,CRINV0006637,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,"2,963.34"
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.02.24 - 31.08.24 CCTV,,,10,,CRINV0006637,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,254.01
ENVS - Environmental Services,CAA - Environmental Maintenance,Fees - September 24,,,1,,CRINV0006657,Aecom Limited,,28/11/2024,,"6,352.80"
ENVS - Environmental Services,CAA - Environmental Maintenance,Fees - September 24,,,2,,CRINV0006657,Aecom Limited,,28/11/2024,,"6,352.80"
ENVS - Environmental Services,CAA - Environmental Maintenance,Fees - September 24,,,3,,CRINV0006657,Aecom Limited,,28/11/2024,,"6,352.80"
ENVS - Environmental Services,CAA - Environmental Maintenance,Fees - October 24,,,1,,CRINV0006658,Aecom Limited,,28/11/2024,,"5,428.01"
ENVS - Environmental Services,CAA - Environmental Maintenance,Fees - October 24,,,2,,CRINV0006658,Aecom Limited,,28/11/2024,,"5,428.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Fees - October 24,,,3,,CRINV0006658,Aecom Limited,,28/11/2024,,"5,427.99"
ENVS - Environmental Services,CAC - Parks & Cemeteries,2 X Arbortec BreatheDry Waterproof Smock ,,,1,,CRPOI0006175,Tudor Environmental,,28/11/2024,,349.92
RESO - Resources,AAG - Management Resources,Leisure Delivery Model Review - Consultancy Fees,,,1,,CRPOI0006182,Max Associates (Holdings) Limited,,28/11/2024,,"1,500.00"
ENVS - Environmental Services,CAB - Other Environmental Services,10 - Proofing plate 1000 x 250mm,,,1,,CRPOI0006280,1env Solutions Ltd,,28/11/2024,,132.00
ENVS - Environmental Services,CAB - Other Environmental Services,2 X - Xcluder mesh 4`` wide x 10ft ,,,2,,CRPOI0006280,1env Solutions Ltd,,28/11/2024,,61.01
ENVS - Environmental Services,CAB - Other Environmental Services,12 X  - Mouse shield 300ml ,,,3,,CRPOI0006280,1env Solutions Ltd,,28/11/2024,,79.63
ENVH - Environmental Health,BAB - Environmental Protection,Consultancy fee ,,,1,,CRPOI0006298,Mallard Consultancy Ltd,,28/11/2024,,540.00
LEGL - Legal & Democratic,DAH - Licencing,1000 x Hyndburn Private Hire and Taxi Handbook,,,1,,CRPOI0006467,C5 Consultancy Ltd,,28/11/2024,,"2,200.00"
