,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Tech. Refresh (Annual Replacem,Equipment,DELIVERY COSTS,B000024093/68561,Rapid I T Recycling Ltd,15 Jun 2023,732.50
Tech. Refresh (Annual Replacem,Equipment,"DELL P2419HC 24"" MONITORS",B000024093/68561,Rapid I T Recycling Ltd,15 Jun 2023,732.50
Hyndburn Cemeteries,Agency Staff,SEASONAL STAFF  W/C 05.09.23,B000024113/19414,Proman Supply Chain Ltd,15 Jun 2023,547.91
Hyndburn Cemeteries,Agency Staff,SEASONAL STAFF  W/C 12.09.22,B000024113/19414,Proman Supply Chain Ltd,15 Jun 2023,547.91
Hyndburn Cemeteries,Agency Staff,SEASONAL STAFF  W/C 19.09.22,B000024113/19414,Proman Supply Chain Ltd,15 Jun 2023,328.75
Hyndburn Cemeteries,Agency Staff,SEASONAL STAFF W/C 29.08.22,B000024113/19414,Proman Supply Chain Ltd,15 Jun 2023,328.75
Parks & Open Spaces,Agency Staff,SEASONAL STAFFING W/C 14.11.2022,B000024113/19414,Proman Supply Chain Ltd,15 Jun 2023,509.09
Parks & Open Spaces,Agency Staff,SEASONAL STAFF  W/C 05.09.23,B000024113/19414,Proman Supply Chain Ltd,15 Jun 2023,"1,142.70"
Parks & Open Spaces,Agency Staff,SEASONAL STAFF W/C 12.09.22,B000024113/19414,Proman Supply Chain Ltd,15 Jun 2023,"1,142.70"
Parks & Open Spaces,Agency Staff,SEASONAL STAFF  W/C 19.09.22,B000024113/19414,Proman Supply Chain Ltd,15 Jun 2023,919.28
Parks & Open Spaces,Agency Staff,SEASONAL STAFF  W/C 29.08.22,B000024113/19414,Proman Supply Chain Ltd,15 Jun 2023,746.56
Parks & Open Spaces,Agency Staff,SEASONAL STAFF W/C 29.05.23,B000024113/19414,Proman Supply Chain Ltd,15 Jun 2023,"1,250.21"
Parks & Open Spaces,Cleaning Of Buildings,BUILDING CLEANING RHYDDINGS,B000024113/68396,Servicemaster Cs Aaa,15 Jun 2023,495.59
Parks & Open Spaces,Cleaning Of Buildings,BUILDING CLEANING - WILSONS,B000024113/68396,Servicemaster Cs Aaa,15 Jun 2023,550.67
Accrington Town Centre,Event Expenditure,CORONATION FLAGS AND BUNTING,B000024114/30597,Hampshire Flag Company,15 Jun 2023,"1,103.52"
Dog Warden,Kenneling - Daytime,KENNELLING CONTRACT,B000024114/36271,Aspen Valley Boarding Kennels & Cattery,15 Jun 2023,826.86
Accrington Town Centre,Event Expenditure,SUMMER EVENTS ADVERT,B000024114/61918,Pro Digital Media & Event Management Ltd,15 Jun 2023,495.00
Refuse Collection,Clinical Waste Collection,CLINICAL WASTE COLLECTIONS,B000024114/62108,Rentokil Initial Uk Ltd,15 Jun 2023,"1,250.90"
Parks & Open Spaces,Private Contractors Work,EMERGENCY TREE WORKS,B000024114/68464,Dlc Tree Services,15 Jun 2023,800.00
Accrington Town Centre,Event Expenditure,CORONATION + SUMMER TOWN TRAILS WITH SOCIAL MEDIA,B000024114/68579,High Street Safari,15 Jun 2023,959.00
